Top 10 Point Cloud Registration Results:
Dataset, id0, id1, RRE, RTE, RMSE, Total_Metric
sun3d-hotel_umd-maryland_hotel1, 1, 14, 0.000, 0.008, 0.007, 0.015
sun3d-hotel_umd-maryland_hotel1, 1, 14, 0.000, 0.008, 0.007, 0.015
sun3d-hotel_umd-maryland_hotel1, 30, 31, 0.000, 0.005, 0.010, 0.015
sun3d-hotel_umd-maryland_hotel1, 30, 31, 0.000, 0.005, 0.010, 0.015
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika, 0, 1, 0.128, 0.011, 0.009, 0.148
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika, 0, 1, 0.128, 0.011, 0.009, 0.148
sun3d-home_at-home_at_scan1_2013_jan_1, 50, 51, 0.137, 0.015, 0.010, 0.162
sun3d-home_at-home_at_scan1_2013_jan_1, 50, 51, 0.137, 0.015, 0.010, 0.162
sun3d-hotel_umd-maryland_hotel1, 53, 54, 0.170, 0.007, 0.007, 0.184
sun3d-hotel_umd-maryland_hotel1, 53, 54, 0.170, 0.007, 0.007, 0.184
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika, 32, 36, 0.181, 0.003, 0.003, 0.187
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika, 32, 36, 0.181, 0.003, 0.003, 0.187
sun3d-hotel_umd-maryland_hotel1, 0, 25, 0.143, 0.024, 0.026, 0.193
sun3d-hotel_umd-maryland_hotel1, 0, 25, 0.143, 0.024, 0.026, 0.193
sun3d-home_at-home_at_scan1_2013_jan_1, 31, 32, 0.232, 0.008, 0.004, 0.244
sun3d-home_at-home_at_scan1_2013_jan_1, 31, 32, 0.232, 0.008, 0.004, 0.244
sun3d-hotel_uc-scan3, 24, 49, 0.220, 0.017, 0.013, 0.250
sun3d-hotel_uc-scan3, 24, 49, 0.220, 0.017, 0.013, 0.250
sun3d-home_md-home_md_scan9_2012_sep_30, 15, 16, 0.237, 0.011, 0.005, 0.253
sun3d-home_md-home_md_scan9_2012_sep_30, 15, 16, 0.237, 0.011, 0.005, 0.253
